student_id,attendance_rate,avg_quiz_score,attendance_entropy,meals_program,achievement_score,at_risk,district,cluster
STU0089,0.7185,76.5,0.6365,1.0,63.2,yes,Lakeshore ISD,3
STU0090,0.7089,100.0,1.0114,0.0,87.8,no,Westview USD,0
STU0091,0.7415,92.8,1.0114,1.0,54.5,no,Maplewood CSD,1
STU0092,0.6098,83.1,0.6365,1.0,46.1,yes,Maplewood CSD,3
STU0093,0.6984,69.9,0.4506,0.0,72.9,no,Westview USD,0
STU0094,0.7396,68.1,0.6365,1.0,35.3,yes,Riverton USD,3
STU0095,0.9879,83.7,0.0,0.0,56.0,no,Cedarville CSD,2
STU0096,0.8573,66.8,0.6931,0.0,62.3,no,Riverton USD,0
STU0097,0.6929,89.2,0.6365,1.0,54.9,no,Maplewood CSD,1
STU0098,0.8003,96.3,0.6365,0.0,58.2,no,Oakdale USD,0
STU0099,0.8095,65.4,0.6365,1.0,52.7,no,Riverton USD,3
STU0100,0.8393,79.1,0.6365,0.0,72.8,no,Westview USD,0
STU0101,0.5207,68.1,0.6931,1.0,71.4,yes,Highpoint ISD,3
STU0102,0.7227,86.5,0.0,0.0,65.7,no,Riverton USD,2
STU0103,0.84,90.0,0.6365,0.0,74.6,no,Oakdale USD,0
STU0104,0.9884,82.5,0.6365,0.0,63.4,no,Lakeshore ISD,0
STU0105,0.8241,76.3,0.4506,0.0,65.1,yes,Oakdale USD,0
STU0106,0.6443,79.5,1.0986,1.0,65.7,no,Lakeshore ISD,3
STU0107,0.9119,100.0,0.6931,0.0,60.4,no,Pinecrest ISD,2
STU0108,0.9763,100.0,0.0,0.0,73.3,no,Oakdale USD,2
STU0109,0.6927,88.4,0.6365,1.0,54.4,no,Pinecrest ISD,1
STU0110,0.9527,93.1,0.0,1.0,44.9,no,Cedarville CSD,1
STU0111,0.9674,99.6,0.0,1.0,38.3,no,Riverton USD,1
STU0112,0.6206,74.1,0.4506,1.0,56.4,no,Oakdale USD,3
STU0113,0.6669,89.3,0.4506,0.0,70.4,no,Lakeshore ISD,0
STU0114,0.6572,84.9,1.0114,1.0,61.3,no,Oakdale USD,3
STU0115,0.6414,63.9,1.2425,1.0,43.9,yes,Cedarville CSD,3
STU0116,0.8006,80.8,0.6931,0.0,67.5,no,Maplewood CSD,0
STU0117,0.7764,86.8,0.6365,0.0,75.1,yes,Westview USD,0
STU0118,0.8747,97.1,1.0114,0.0,53.7,no,Oakdale USD,0
STU0119,1.0,100.0,0.0,1.0,52.2,no,Riverton USD,1
STU0120,0.7974,92.0,0.6931,0.0,68.5,no,Maplewood CSD,0
STU0122,0.859,99.9,0.0,0.0,59.1,no,Riverton USD,2
STU0123,0.7033,90.4,0.8676,1.0,68.9,no,Riverton USD,1
STU0124,0.9372,90.8,0.6365,0.0,72.6,no,Pinecrest ISD,0
STU0125,1.0,73.4,0.0,0.0,53.1,no,Riverton USD,2
STU0126,0.5947,71.1,0.6931,1.0,53.9,yes,Cedarville CSD,3
STU0127,0.7715,73.2,0.6365,0.0,66.1,yes,Pinecrest ISD,0
STU0128,0.8657,89.9,0.4506,1.0,77.4,no,Highpoint ISD,1
STU0129,0.7887,87.5,0.6365,1.0,59.5,yes,Highpoint ISD,1
STU0130,1.0,82.7,0.4506,0.0,65.0,no,Oakdale USD,2
STU0131,0.8463,89.1,0.6365,0.0,51.3,no,Cedarville CSD,0
STU0132,0.9123,82.7,0.0,0.0,63.9,no,Maplewood CSD,2
STU0133,0.7867,95.4,0.6365,0.0,78.2,yes,Lakeshore ISD,0
STU0134,0.5584,64.7,1.0114,1.0,56.0,no,Lakeshore ISD,3
STU0135,0.773,78.6,0.6365,0.0,72.7,no,Lakeshore ISD,0
STU0136,0.7407,67.7,1.0114,0.0,52.5,yes,Riverton USD,0
STU0137,0.9774,100.0,0.0,1.0,51.4,no,Pinecrest ISD,1
STU0138,0.7388,74.4,0.4506,0.0,42.3,yes,Riverton USD,0
STU0139,0.8385,83.7,0.6365,0.0,80.8,no,Highpoint ISD,0
STU0140,1.0,90.3,0.0,0.0,57.4,no,Cedarville CSD,2
STU0141,0.8614,80.0,0.0,0.0,72.4,yes,Westview USD,2
STU0142,0.6387,65.3,0.4506,1.0,44.3,yes,Cedarville CSD,3
STU0143,0.6911,77.2,0.4506,0.0,60.3,yes,Cedarville CSD,0
STU0144,0.7403,91.7,0.6365,1.0,46.7,yes,Cedarville CSD,1
STU0145,0.7483,67.7,0.6365,0.0,56.6,yes,Riverton USD,0
STU0146,0.7672,75.0,0.6931,0.0,67.0,yes,Highpoint ISD,0
STU0148,0.6601,83.4,1.0114,1.0,54.3,no,Westview USD,3
STU0149,1.0,89.2,0.0,1.0,37.6,no,Pinecrest ISD,1
STU0150,0.5311,63.3,0.4506,1.0,51.0,no,Westview USD,3
STU0151,0.6789,66.5,1.0114,0.0,58.7,yes,Oakdale USD,0
STU0152,0.8512,98.4,0.6931,1.0,64.3,no,Cedarville CSD,1
STU0153,0.9735,76.2,0.0,0.0,71.9,no,Westview USD,2
STU0154,0.854,78.5,0.8676,0.0,61.7,no,Pinecrest ISD,0
STU0155,0.8048,100.0,0.6931,0.0,72.8,no,Westview USD,0
STU0156,0.6553,90.2,0.6365,1.0,46.9,no,Westview USD,1
STU0157,0.7318,66.2,1.0114,0.0,66.7,no,Pinecrest ISD,0
STU0158,0.8018,92.6,0.6931,0.0,77.9,yes,Lakeshore ISD,0
STU0159,0.597,73.2,1.0114,1.0,46.6,yes,Pinecrest ISD,3
STU0160,0.6768,68.8,0.4506,1.0,65.5,no,Westview USD,3
STU0161,0.5783,68.7,0.8676,1.0,51.4,yes,Cedarville CSD,3
STU0162,0.8183,100.0,0.4506,1.0,52.8,no,Riverton USD,1
STU0163,0.7187,82.7,0.0,0.0,60.1,no,Pinecrest ISD,2
STU0164,0.7674,72.0,1.0114,0.0,61.5,no,Westview USD,0
STU0165,0.8712,100.0,0.4506,0.0,51.9,no,Oakdale USD,2
STU0166,0.908,91.8,0.4506,0.0,74.0,no,Westview USD,2
STU0167,0.8814,67.4,0.4506,0.0,58.3,no,Pinecrest ISD,0
STU0168,0.8483,71.8,0.4506,0.0,71.9,no,Highpoint ISD,0
STU0169,1.0,92.9,0.0,0.0,81.9,no,Lakeshore ISD,2
STU0170,0.8742,88.1,0.4506,0.0,82.5,no,Highpoint ISD,0
STU0171,0.7715,84.0,0.6365,1.0,77.4,no,Lakeshore ISD,1
STU0172,0.857,78.3,0.6365,0.0,75.2,yes,Lakeshore ISD,0
STU0173,0.7089,100.0,1.0114,1.0,62.9,no,Highpoint ISD,1
STU0174,0.8339,82.7,0.6931,1.0,68.4,no,Highpoint ISD,1
STU0175,0.846,84.7,0.4506,1.0,63.7,no,Lakeshore ISD,1
STU0176,0.396,53.9,1.0114,1.0,67.0,yes,Lakeshore ISD,3
STU0177,0.7287,58.7,1.0114,1.0,46.2,no,Riverton USD,3
STU0178,1.0,67.5,0.4506,0.0,70.5,no,Highpoint ISD,0
STU0179,0.5987,72.9,0.6931,1.0,58.5,yes,Westview USD,3
STU0180,0.8656,82.9,0.6365,0.0,70.1,yes,Lakeshore ISD,0
STU0181,0.6166,67.0,1.2425,1.0,49.5,no,Oakdale USD,3
STU0182,1.0,100.0,0.0,0.0,77.9,no,Highpoint ISD,2
STU0183,0.8541,73.4,0.4506,0.0,62.4,no,Pinecrest ISD,0
STU0184,0.883,95.9,0.4506,1.0,59.8,no,Maplewood CSD,1
STU0185,0.8027,83.0,0.4506,0.0,75.8,yes,Lakeshore ISD,0
STU0186,1.0,91.2,0.4506,0.0,80.9,no,Lakeshore ISD,2
STU0187,0.9783,100.0,0.4506,1.0,75.4,no,Westview USD,1
STU0188,0.627,71.1,1.0114,1.0,65.4,no,Westview USD,3
STU0189,1.0,89.3,0.0,0.0,95.0,no,Highpoint ISD,2
STU0190,0.823,77.4,0.6931,0.0,65.8,no,Lakeshore ISD,0
STU0191,0.6919,67.3,0.6365,1.0,64.8,no,Maplewood CSD,3
STU0192,0.8477,81.6,0.6931,0.0,60.9,yes,Pinecrest ISD,0
STU0193,0.98,82.7,0.0,0.0,61.7,no,Pinecrest ISD,2
STU0194,0.8842,97.5,0.4506,0.0,55.6,no,Maplewood CSD,2
STU0195,0.8927,97.2,0.6931,1.0,54.0,no,Lakeshore ISD,1
STU0196,0.9519,100.0,0.0,0.0,58.0,no,Cedarville CSD,2
STU0197,1.0,84.3,0.0,0.0,53.8,no,Riverton USD,2
STU0198,0.897,86.5,0.6365,0.0,67.4,no,Highpoint ISD,0
STU0199,0.5944,67.0,0.8676,1.0,40.1,no,Cedarville CSD,3
STU0200,0.5843,64.2,0.4506,1.0,54.8,yes,Pinecrest ISD,3
STU0201,0.7241,72.2,0.8676,0.0,72.1,no,Pinecrest ISD,0
STU0202,0.4849,59.3,0.6931,1.0,52.1,yes,Pinecrest ISD,3
STU0203,0.8214,81.6,0.6365,0.0,79.5,no,Highpoint ISD,0
STU0204,0.3894,65.5,1.2425,1.0,58.9,yes,Lakeshore ISD,3
STU0205,0.9149,73.7,0.0,0.0,71.1,no,Lakeshore ISD,2
STU0206,0.9256,76.8,0.0,1.0,42.2,no,Riverton USD,1
STU0207,0.522,70.2,1.0114,1.0,71.3,yes,Lakeshore ISD,3
STU0208,1.0,82.7,0.0,1.0,67.8,no,Lakeshore ISD,1
STU0209,0.816,70.5,0.6365,0.0,71.9,no,Highpoint ISD,0
STU0210,0.7914,82.7,0.6365,0.0,53.3,yes,Cedarville CSD,0
STU0211,0.8337,85.1,0.6365,0.0,69.6,yes,Highpoint ISD,0
STU0212,1.0,82.7,0.0,0.0,51.0,no,Cedarville CSD,2
STU0213,0.5006,55.7,0.4506,1.0,64.6,yes,Westview USD,3
STU0214,0.7186,69.9,1.0114,1.0,57.1,no,Westview USD,3
STU0215,0.6552,86.6,0.6365,1.0,44.6,no,Westview USD,3
STU0216,0.531,69.8,0.4506,0.0,79.4,no,Highpoint ISD,0
STU0217,0.6945,82.7,1.0114,0.0,48.4,yes,Cedarville CSD,0
STU0218,1.0,100.0,0.0,0.0,56.8,no,Pinecrest ISD,2
STU0219,0.8444,100.0,0.8676,0.0,67.5,no,Oakdale USD,0
STU0220,0.9348,88.6,0.0,0.0,52.3,no,Oakdale USD,2
STU0221,0.7709,82.9,0.8676,0.0,51.1,no,Cedarville CSD,0
STU0222,0.7827,78.9,1.0114,1.0,79.4,no,Highpoint ISD,0
STU0223,0.5831,88.6,1.0114,1.0,47.8,no,Cedarville CSD,3
STU0224,0.6671,60.3,0.6365,1.0,58.1,yes,Highpoint ISD,3
STU0225,0.8352,68.1,0.6931,0.0,78.5,no,Highpoint ISD,0
STU0226,0.9576,82.7,0.4506,0.0,66.8,no,Riverton USD,2
STU0227,0.8116,87.8,0.6365,0.0,71.7,no,Lakeshore ISD,0
STU0228,0.8374,62.5,0.0,1.0,59.2,no,Pinecrest ISD,1
STU0229,1.0,100.0,0.0,0.0,82.2,no,Maplewood CSD,2
STU0230,0.8798,94.5,0.8676,0.0,73.4,no,Cedarville CSD,0
STU0231,0.6986,91.6,0.6365,1.0,62.4,no,Pinecrest ISD,1
STU0232,0.4435,72.1,1.0114,1.0,60.9,yes,Highpoint ISD,3
STU0233,0.9885,97.0,0.4506,0.0,60.8,no,Cedarville CSD,2
STU0234,0.5874,71.0,0.6931,1.0,53.0,yes,Riverton USD,3
STU0235,0.8405,82.3,0.6365,1.0,60.0,yes,Maplewood CSD,1
STU0236,0.9613,89.1,0.0,0.0,58.8,no,Cedarville CSD,2
STU0237,0.9897,94.1,0.0,0.0,74.0,no,Lakeshore ISD,2
STU0238,0.7813,83.3,1.0114,0.0,70.8,no,Lakeshore ISD,0
STU0239,0.9387,100.0,0.4506,0.0,73.9,no,Highpoint ISD,2
STU0240,0.4979,74.3,1.0114,1.0,59.5,yes,Highpoint ISD,3
STU0241,0.6996,92.5,0.4506,0.0,80.0,no,Highpoint ISD,0
STU0242,0.7175,91.5,0.6365,1.0,48.7,no,Riverton USD,1
STU0243,1.0,68.5,0.0,0.0,60.1,no,Westview USD,2
STU0244,1.0,100.0,0.4506,0.0,50.3,no,Cedarville CSD,2
STU0245,0.774,90.1,1.0114,0.0,79.2,no,Maplewood CSD,0
STU0246,1.0,86.4,0.0,1.0,45.9,no,Oakdale USD,1
STU0247,0.6849,77.0,0.0,1.0,80.8,yes,Highpoint ISD,1
STU0248,0.9094,100.0,0.0,0.0,73.6,no,Maplewood CSD,2
STU0249,0.625,78.5,1.0114,1.0,60.9,no,Lakeshore ISD,3
STU0250,0.7089,64.2,1.3297,1.0,46.7,no,Oakdale USD,3
STU0251,0.7447,98.2,0.8676,1.0,47.3,no,Oakdale USD,1
STU0252,0.6936,80.8,0.4506,0.0,72.8,no,Westview USD,0
STU0253,0.683,68.7,0.4506,0.0,75.0,no,Lakeshore ISD,0
STU0254,0.8032,81.3,0.6365,0.0,56.1,yes,Cedarville CSD,0
STU0255,0.8777,84.1,0.6365,0.0,61.5,no,Pinecrest ISD,0
STU0256,0.8736,86.6,0.4506,0.0,77.7,no,Westview USD,0
STU0257,0.7643,86.2,0.6365,1.0,65.2,yes,Lakeshore ISD,1
STU0258,0.7624,77.1,0.6365,1.0,47.2,no,Cedarville CSD,3
STU0259,0.4751,77.7,1.0114,1.0,48.8,no,Pinecrest ISD,3
STU0260,0.7051,81.1,1.0114,0.0,80.1,yes,Highpoint ISD,0
STU0261,0.9413,78.8,0.6931,0.0,70.7,no,Highpoint ISD,0
STU0262,0.936,89.5,0.0,0.0,68.4,no,Westview USD,2
STU0263,0.5988,82.7,0.6365,1.0,48.6,yes,Lakeshore ISD,3
STU0264,0.8302,78.2,0.6365,0.0,62.6,no,Oakdale USD,0
STU0265,0.5976,67.0,0.6365,1.0,40.6,yes,Cedarville CSD,3
STU0267,0.9165,100.0,0.6931,0.0,71.4,no,Oakdale USD,2
STU0268,0.6946,64.2,0.6365,0.0,85.7,yes,Lakeshore ISD,0
STU0269,0.8108,85.0,0.6365,0.0,44.2,yes,Cedarville CSD,0
STU0270,0.9372,78.6,0.0,1.0,61.6,no,Westview USD,1
STU0271,0.8835,82.7,0.0,1.0,66.7,no,Lakeshore ISD,1
STU0272,0.7676,94.8,0.4506,1.0,42.8,no,Riverton USD,1
STU0273,0.829,100.0,0.0,0.0,76.3,no,Maplewood CSD,2
STU0274,0.6856,83.4,0.8676,1.0,53.2,no,Westview USD,3
STU0275,0.5822,68.2,0.4506,0.0,65.1,no,Maplewood CSD,0
STU0276,0.8035,82.7,0.6365,0.0,66.1,no,Cedarville CSD,0
STU0277,0.9438,95.4,0.4506,0.0,70.7,no,Oakdale USD,2
STU0278,0.8426,100.0,0.4506,0.0,76.0,yes,Maplewood CSD,2
STU0280,0.6514,71.5,0.0,1.0,54.7,yes,Pinecrest ISD,3
STU0281,0.8273,69.0,0.6365,0.0,57.3,yes,Riverton USD,0
STU0282,0.5497,83.0,1.0114,1.0,38.7,yes,Cedarville CSD,3
STU0283,1.0,100.0,0.0,0.0,33.2,no,Cedarville CSD,2
STU0284,0.8087,91.0,0.6365,1.0,67.3,no,Highpoint ISD,1
STU0285,0.9426,91.1,0.4506,1.0,45.2,no,Cedarville CSD,1
STU0286,0.8051,96.7,0.4506,1.0,54.5,no,Riverton USD,1
STU0287,0.9755,89.8,0.4506,0.0,63.6,no,Oakdale USD,2
STU0288,0.7817,73.5,0.6365,0.0,57.6,yes,Pinecrest ISD,0
STU0289,1.0,83.2,0.0,0.0,80.5,no,Lakeshore ISD,2
STU0290,0.7978,78.4,0.6365,0.0,71.1,no,Westview USD,0
STU0291,0.7459,100.0,0.0,0.0,79.6,no,Highpoint ISD,2
STU0292,1.0,75.3,0.0,0.0,62.4,no,Maplewood CSD,2
STU0294,0.875,90.8,0.4506,0.0,59.7,no,Cedarville CSD,2
STU0295,0.7147,75.0,0.4506,0.0,55.5,yes,Cedarville CSD,0
STU0296,0.8006,100.0,0.6931,0.0,49.9,no,Oakdale USD,0
STU0297,0.854,82.7,0.6365,0.0,61.6,no,Riverton USD,0
STU0298,0.6691,72.2,0.6365,0.0,71.7,yes,Oakdale USD,0
STU0299,0.9424,81.7,0.4506,1.0,67.2,no,Oakdale USD,1
STU0300,0.7569,71.5,0.6931,0.0,82.1,yes,Highpoint ISD,0
