layer,row,col,value
W2,4,4,-0.4271362418391137
W2,4,5,0.119811099633786
W2,4,6,0.4332624261324588
W2,4,7,-0.4569560911051278
W2,4,8,-0.22647751748417644
W2,4,9,-0.060916451556475626
W2,4,10,-0.31218032763932446
W2,4,11,-0.4952510395392753
W2,4,12,-0.17898840881259503
W2,4,13,-0.4107802058335377
W2,4,14,0.4601674484498347
W2,4,15,0.10212400047762238
b2,4,0,0.0
W2,5,0,0.5579007113183133
W2,5,1,0.07273624712880294
W2,5,2,-0.04635556725668183
W2,5,3,0.0072067099823637125
W2,5,4,0.027303926158512324
W2,5,5,-0.2513326145364169
W2,5,6,0.26971965870974274
W2,5,7,-0.4358623590489472
W2,5,8,-0.40782869614122
W2,5,9,-0.3194113766380376
W2,5,10,-0.31580838317804694
W2,5,11,0.04908464061399386
W2,5,12,0.475729628792566
W2,5,13,0.12407631057051628
W2,5,14,0.026791965942911236
W2,5,15,-0.4431660612358065
b2,5,0,-0.018312662193850433
W2,6,0,0.31458797176503095
W2,6,1,0.3117291519750828
W2,6,2,-0.5233837528619366
W2,6,3,0.4214447908508325
W2,6,4,0.46026582842013697
W2,6,5,0.4027357885230644
W2,6,6,-0.5390665675127062
W2,6,7,0.28511909377566463
W2,6,8,0.310867596988173
W2,6,9,0.39030366137398464
W2,6,10,0.049105646803731966
W2,6,11,-0.11650598687327891
W2,6,12,-0.06050963510023695
W2,6,13,0.47640642851405474
W2,6,14,-0.1919786331812949
W2,6,15,-0.4822135067726725
b2,6,0,-0.19409044724933733
W2,7,0,0.19650507226154626
W2,7,1,0.35050392301376365
W2,7,2,0.46145143954379075
W2,7,3,-0.4654140115613984
W2,7,4,-0.3708882365465366
W2,7,5,0.15991940881437677
W2,7,6,-0.16070439347171908
W2,7,7,0.49239494344108126
W2,7,8,-0.28513084494249763
W2,7,9,0.09192595249048577
W2,7,10,0.39508246839262495
W2,7,11,0.34932419683211346
W2,7,12,-0.4880792300285091
W2,7,13,0.03319549351597231
W2,7,14,0.12252947041426791
W2,7,15,-0.08314136950476926
b2,7,0,0.005385674578439001
W3,0,0,-0.520537519435916
W3,0,1,-1.1113609034661147
W3,0,2,0.293686606366924
W3,0,3,-0.8158162770263919
W3,0,4,-0.17220122461338827
W3,0,5,-0.8552645123400288
W3,0,6,1.2001771719327676
W3,0,7,-0.02895530274300534
b3,0,0,0.06889837673051799
