student_id,attendance_rate,avg_quiz_score,meals_program,at_risk,attendance_entropy,district,achievement_score,lat,lon
CA0139,0.5343,65.7,yes,yes,0.6931,San Jose USD,63.1,37.338,-121.886
CA0140,0.9025,85.6,no,no,0.6365,San Francisco USD,66.5,37.774,-122.419
CA0141,0.7558,87.1,yes,no,0.6365,Los Angeles USD,47.4,34.052,-118.243
CA0142,1.0,100.0,no,no,0.0,Los Angeles USD,52.9,34.052,-118.243
CA0143,0.7733,76.4,no,no,1.0114,San Diego USD,69.1,32.716,-117.161
CA0144,1.0,88.9,no,no,0.0,San Diego USD,67.6,32.716,-117.161
CA0145,0.9247,72.5,no,no,0.4506,San Francisco USD,71.9,37.774,-122.419
CA0146,0.9427,93.4,no,no,0.4506,Fresno USD,60.5,36.737,-119.787
CA0147,0.8636,86.8,no,no,0.0,San Diego USD,62.0,32.716,-117.161
CA0148,1.0,100.0,no,yes,0.0,San Jose USD,77.1,37.338,-121.886
CA0149,0.8628,99.1,no,no,0.4506,San Francisco USD,69.3,37.774,-122.419
CA0150,0.6226,63.6,yes,no,0.6931,San Francisco USD,65.5,37.774,-122.419
CA0151,0.6621,84.9,no,no,0.6365,San Francisco USD,64.5,37.774,-122.419
CA0152,1.0,89.1,no,no,0.0,Fresno USD,48.4,36.737,-119.787
CA0153,0.7538,81.5,yes,no,0.4506,San Francisco USD,50.1,37.774,-122.419
CA0154,1.0,80.7,no,yes,0.0,San Diego USD,60.9,32.716,-117.161
CA0155,,100.0,yes,no,0.8676,San Francisco USD,54.8,37.774,-122.419
CA0156,0.8643,81.3,no,no,0.0,Oakland USD,48.7,37.804,-122.271
CA0157,0.9235,83.3,no,no,0.4506,San Francisco USD,73.2,37.774,-122.419
CA0158,0.7793,100.0,no,no,0.6365,San Diego USD,60.6,32.716,-117.161
CA0159,0.8488,94.6,no,no,0.6931,San Jose USD,79.2,37.338,-121.886
CA0160,0.7408,88.8,no,yes,1.0114,Bakersfield City SD,41.2,35.373,-119.019
CA0161,0.7251,73.3,yes,yes,1.0114,Fresno USD,38.8,36.737,-119.787
CA0162,1.0,100.0,no,no,0.0,San Jose USD,52.2,37.338,-121.886
CA0163,0.7057,79.2,yes,no,0.6365,Oakland USD,51.9,37.804,-122.271
CA0164,0.9403,99.3,no,no,0.6365,Sacramento City USD,49.5,38.581,-121.494
CA0165,0.8005,83.8,no,no,0.6931,San Jose USD,75.4,37.338,-121.886
CA0166,0.6278,65.3,yes,no,0.4506,Bakersfield City SD,44.6,35.373,-119.019
CA0167,,82.4,no,no,1.0114,Sacramento City USD,73.7,38.581,-121.494
CA0168,0.5334,97.4,yes,no,0.8676,Fresno USD,39.4,36.737,-119.787
CA0169,0.8743,100.0,no,no,0.6365,Bakersfield City SD,62.2,35.373,-119.019
CA0170,0.9338,86.8,no,no,0.0,San Francisco USD,61.0,37.774,-122.419
CA0171,0.8282,81.3,no,no,0.8676,Sacramento City USD,59.6,38.581,-121.494
CA0172,1.0,100.0,no,no,0.0,San Diego USD,80.4,32.716,-117.161
CA0173,0.8442,68.5,no,no,0.6931,Los Angeles USD,52.8,34.052,-118.243
CA0174,0.8847,90.2,no,no,0.6365,Fresno USD,51.2,36.737,-119.787
CA0175,0.9934,94.8,no,no,0.4506,San Francisco USD,69.2,37.774,-122.419
CA0176,0.8914,86.8,no,no,0.0,San Francisco USD,70.2,37.774,-122.419
CA0177,1.0,96.2,no,no,0.4506,Oakland USD,64.7,37.804,-122.271
CA0178,0.7394,86.2,no,no,0.8676,Oakland USD,53.0,37.804,-122.271
CA0179,0.7622,76.3,no,no,0.6365,San Francisco USD,70.8,37.774,-122.419
CA0180,0.9976,100.0,no,no,0.0,Bakersfield City SD,49.4,35.373,-119.019
CA0181,1.0,100.0,no,no,0.0,Los Angeles USD,56.5,34.052,-118.243
CA0182,0.8644,100.0,no,no,0.0,Fresno USD,56.3,36.737,-119.787
CA0183,,86.8,no,no,1.0114,San Diego USD,61.6,32.716,-117.161
CA0184,0.7754,79.2,yes,yes,0.6931,San Diego USD,64.1,32.716,-117.161
CA0185,0.7812,86.8,no,no,0.6931,Oakland USD,75.4,37.804,-122.271
CA0186,1.0,100.0,no,no,0.4506,Fresno USD,57.0,36.737,-119.787
CA0187,0.7469,74.0,yes,yes,0.4506,Bakersfield City SD,37.8,35.373,-119.019
CA0188,0.8884,88.0,no,no,0.0,Oakland USD,68.0,37.804,-122.271
CA0189,0.5271,48.5,yes,yes,0.6365,Los Angeles USD,47.2,34.052,-118.243
CA0190,1.0,100.0,no,no,0.4506,Bakersfield City SD,42.6,35.373,-119.019
CA0191,0.9712,91.6,no,no,0.0,Fresno USD,54.5,36.737,-119.787
CA0192,0.8548,91.7,no,no,0.6365,Sacramento City USD,58.8,38.581,-121.494
CA0193,1.0,97.1,no,no,0.4506,San Francisco USD,72.3,37.774,-122.419
CA0194,0.7599,85.8,no,no,0.6365,Oakland USD,54.0,37.804,-122.271
CA0195,1.0,100.0,no,no,0.0,Fresno USD,61.4,36.737,-119.787
CA0196,0.8826,85.8,no,no,0.4506,Fresno USD,46.2,36.737,-119.787
CA0197,0.7537,93.2,yes,no,0.4506,San Diego USD,62.4,32.716,-117.161
CA0198,0.4487,50.4,yes,yes,0.8676,San Diego USD,54.1,32.716,-117.161
CA0199,0.8593,100.0,no,no,0.6931,Oakland USD,50.6,37.804,-122.271
CA0200,1.0,100.0,no,no,0.0,Fresno USD,42.1,36.737,-119.787
CA0201,0.6019,85.0,yes,yes,0.4506,Sacramento City USD,43.6,38.581,-121.494
CA0202,0.8412,78.5,no,no,0.6365,Fresno USD,61.7,36.737,-119.787
CA0203,0.8565,83.8,no,no,0.4506,Fresno USD,55.0,36.737,-119.787
CA0204,0.6468,71.5,yes,no,1.0114,Sacramento City USD,57.9,38.581,-121.494
CA0205,0.9109,91.8,yes,no,0.4506,Oakland USD,43.5,37.804,-122.271
CA0206,0.7754,87.9,yes,no,0.6365,San Jose USD,72.3,37.338,-121.886
CA0207,0.7101,92.6,yes,no,0.8676,Oakland USD,36.8,37.804,-122.271
CA0208,0.7629,98.2,yes,no,0.8676,San Francisco USD,55.0,37.774,-122.419
CA0209,0.8193,83.0,no,no,0.0,Oakland USD,58.2,37.804,-122.271
CA0210,0.7719,77.7,no,no,1.0114,San Jose USD,69.8,37.338,-121.886
CA0211,,95.3,no,no,0.8676,Oakland USD,45.1,37.804,-122.271
CA0212,0.8169,78.7,yes,no,0.4506,San Francisco USD,59.5,37.774,-122.419
CA0213,0.8046,97.8,no,no,0.6931,San Diego USD,59.5,32.716,-117.161
CA0214,0.7494,97.7,yes,no,1.0114,Sacramento City USD,46.6,38.581,-121.494
CA0215,0.6948,74.9,yes,no,0.4506,San Jose USD,69.9,37.338,-121.886
CA0216,0.6418,72.0,no,no,0.4506,Los Angeles USD,70.5,34.052,-118.243
CA0217,1.0,93.0,no,no,0.0,Los Angeles USD,56.9,34.052,-118.243
CA0218,0.8024,83.6,no,no,0.6931,Fresno USD,57.9,36.737,-119.787
CA0219,0.6596,81.3,yes,no,1.0114,Los Angeles USD,65.8,34.052,-118.243
CA0220,0.7914,89.5,no,no,1.0114,Bakersfield City SD,54.2,35.373,-119.019
CA0221,1.0,82.5,yes,no,0.0,Sacramento City USD,44.4,38.581,-121.494
CA0222,0.8819,91.6,no,no,0.0,Los Angeles USD,55.2,34.052,-118.243
CA0223,0.7274,83.9,yes,yes,1.0114,Los Angeles USD,47.9,34.052,-118.243
CA0224,0.5619,70.0,yes,yes,1.0114,San Jose USD,83.2,37.338,-121.886
CA0225,1.0,99.9,yes,no,0.0,San Diego USD,49.5,32.716,-117.161
CA0226,0.6805,81.8,yes,no,0.6931,San Diego USD,48.5,32.716,-117.161
CA0227,0.7641,76.3,no,no,1.0114,Los Angeles USD,57.2,34.052,-118.243
CA0228,0.7012,79.9,no,no,0.6365,Bakersfield City SD,39.5,35.373,-119.019
CA0229,0.8618,94.4,no,no,0.4506,San Francisco USD,59.3,37.774,-122.419
CA0230,1.0,100.0,no,no,0.0,Bakersfield City SD,52.2,35.373,-119.019
CA0231,0.6401,72.0,no,yes,0.6931,San Francisco USD,73.5,37.774,-122.419
CA0232,0.6976,86.8,yes,no,0.4506,Sacramento City USD,48.3,38.581,-121.494
CA0233,0.8192,75.9,yes,no,1.0114,Bakersfield City SD,21.8,35.373,-119.019
CA0234,1.0,100.0,no,no,0.4506,Bakersfield City SD,56.5,35.373,-119.019
CA0235,0.9439,82.6,yes,no,0.0,Los Angeles USD,44.7,34.052,-118.243
CA0236,0.7722,99.8,no,no,0.6365,San Francisco USD,59.5,37.774,-122.419
CA0237,0.6996,93.0,no,no,0.8676,San Francisco USD,82.1,37.774,-122.419
CA0238,0.8443,79.7,no,yes,0.4506,Fresno USD,53.1,36.737,-119.787
CA0239,0.7067,86.8,no,yes,0.0,Bakersfield City SD,64.3,35.373,-119.019
CA0240,0.9205,86.8,yes,no,0.4506,Bakersfield City SD,50.5,35.373,-119.019
CA0241,0.7658,79.2,yes,no,0.8676,San Diego USD,53.4,32.716,-117.161
CA0242,1.0,100.0,no,no,0.4506,San Jose USD,72.6,37.338,-121.886
CA0243,1.0,86.1,no,no,0.0,Bakersfield City SD,51.8,35.373,-119.019
CA0244,0.6844,77.0,no,no,1.0114,Bakersfield City SD,61.6,35.373,-119.019
CA0245,0.8122,93.2,yes,no,0.6365,Bakersfield City SD,30.0,35.373,-119.019
CA0246,0.7519,83.6,yes,no,0.8676,San Jose USD,77.9,37.338,-121.886
CA0247,0.7986,98.1,yes,no,0.6931,San Jose USD,59.4,37.338,-121.886
CA0248,0.7279,86.8,no,no,0.8676,Oakland USD,58.0,37.804,-122.271
CA0249,0.6692,75.4,yes,no,0.0,Sacramento City USD,45.2,38.581,-121.494
CA0250,0.7363,76.8,no,no,1.0114,San Diego USD,65.9,32.716,-117.161
CA0251,0.8236,79.5,yes,no,0.8676,Bakersfield City SD,43.2,35.373,-119.019
CA0252,0.9139,86.8,yes,no,0.6365,Bakersfield City SD,37.7,35.373,-119.019
CA0253,0.7835,82.6,no,no,0.6365,San Jose USD,91.7,37.338,-121.886
CA0254,0.8218,86.0,no,no,0.4506,Bakersfield City SD,47.9,35.373,-119.019
CA0255,0.7769,79.7,yes,no,1.0114,Fresno USD,63.4,36.737,-119.787
CA0256,0.7817,86.8,yes,no,0.6365,Oakland USD,45.8,37.804,-122.271
CA0257,0.845,62.1,no,no,0.6365,Los Angeles USD,65.5,34.052,-118.243
CA0258,0.7765,67.0,yes,yes,0.6365,San Diego USD,48.3,32.716,-117.161
CA0259,0.6697,65.2,yes,yes,1.0114,Fresno USD,41.5,36.737,-119.787
CA0260,0.9775,91.4,no,no,0.0,San Jose USD,80.6,37.338,-121.886
CA0261,1.0,86.9,no,no,0.4506,San Jose USD,71.2,37.338,-121.886
CA0262,0.7902,95.3,yes,no,1.0114,Oakland USD,45.7,37.804,-122.271
CA0263,1.0,100.0,no,no,0.4506,San Diego USD,69.3,32.716,-117.161
CA0264,0.9333,87.8,no,no,0.4506,Los Angeles USD,68.5,34.052,-118.243
CA0265,0.5797,77.6,yes,yes,0.4506,Los Angeles USD,54.8,34.052,-118.243
CA0266,1.0,100.0,no,no,0.0,San Francisco USD,60.8,37.774,-122.419
CA0267,0.6579,73.9,yes,no,0.6365,Fresno USD,37.4,36.737,-119.787
CA0268,0.8427,100.0,no,no,0.6931,San Diego USD,77.1,32.716,-117.161
CA0269,0.697,86.8,no,no,1.0114,Los Angeles USD,50.9,34.052,-118.243
CA0270,0.6748,86.8,yes,yes,0.8676,Oakland USD,35.9,37.804,-122.271
CA0271,0.9792,100.0,no,no,0.0,San Francisco USD,68.1,37.774,-122.419
CA0272,1.0,97.0,no,no,0.0,San Francisco USD,76.3,37.774,-122.419
CA0273,0.8828,100.0,no,no,0.6931,Sacramento City USD,71.2,38.581,-121.494
CA0274,0.5116,86.8,yes,yes,1.0986,Bakersfield City SD,31.2,35.373,-119.019
CA0275,0.7913,82.5,no,no,1.0114,Sacramento City USD,69.3,38.581,-121.494
CA0276,0.7986,84.9,yes,no,1.0114,San Jose USD,52.5,37.338,-121.886
CA0277,0.9713,99.1,no,no,0.0,San Diego USD,60.8,32.716,-117.161
CA0278,0.9043,80.4,no,no,0.4506,Los Angeles USD,54.2,34.052,-118.243
CA0279,0.7217,83.4,yes,no,0.4506,San Jose USD,64.2,37.338,-121.886
CA0280,,83.2,no,yes,0.4506,San Diego USD,71.7,32.716,-117.161
CA0281,1.0,96.6,yes,no,0.0,Oakland USD,42.1,37.804,-122.271
CA0282,0.8312,73.2,no,yes,0.4506,Oakland USD,52.7,37.804,-122.271
CA0283,0.8173,75.6,no,no,0.6931,Oakland USD,55.8,37.804,-122.271
CA0284,0.617,73.1,no,yes,0.6931,San Jose USD,75.1,37.338,-121.886
CA0285,0.9257,86.8,yes,no,0.0,Oakland USD,42.4,37.804,-122.271
CA0286,0.8563,80.8,no,no,0.6365,Fresno USD,51.7,36.737,-119.787
CA0287,0.7255,85.7,no,no,0.4506,Oakland USD,59.1,37.804,-122.271
CA0288,0.9842,100.0,no,no,0.6365,Oakland USD,59.5,37.804,-122.271
CA0289,1.0,100.0,no,no,0.4506,San Francisco USD,75.4,37.774,-122.419
CA0290,1.0,100.0,no,no,0.0,Fresno USD,46.0,36.737,-119.787
CA0291,0.9954,94.3,no,yes,0.0,Los Angeles USD,70.9,34.052,-118.243
CA0292,0.5367,74.9,no,yes,0.8676,Oakland USD,44.1,37.804,-122.271
CA0293,0.9177,83.6,yes,no,0.0,Oakland USD,57.8,37.804,-122.271
CA0294,0.9617,100.0,no,no,0.0,Bakersfield City SD,58.5,35.373,-119.019
CA0295,0.8259,86.8,yes,no,0.6931,Fresno USD,23.2,36.737,-119.787
CA0296,0.8605,100.0,yes,no,0.6931,San Francisco USD,65.3,37.774,-122.419
CA0297,0.9098,82.0,no,no,0.6365,Sacramento City USD,63.7,38.581,-121.494
CA0298,0.996,86.8,no,no,0.0,Oakland USD,59.8,37.804,-122.271
CA0299,0.7663,66.6,no,yes,0.4506,San Francisco USD,67.8,37.774,-122.419
CA0300,0.649,90.7,no,no,0.8676,Los Angeles USD,75.4,34.052,-118.243
